dutch,english,dutch_phrase,english_phrase
komt,comes,Wie komt?,Who's coming?
niets,nothing,Het is alles of niets.,It's all or nothing.
zei,said,Wat zei ze?,What did she say?
misschien,maybe,Misschien hebben ze iets.,Maybe they have something.
kijk,look,Kijk eens naar dit.,Take a look at this.
iemand,someone,Weet iemand hier hoe dit moet?,Does someone here know how to do this?
komen,come,We komen.,We are coming.
tot,until,Tot kijk.,Goodbye!
veel,a lot,Ik heb te veel te doen.,I've got too much to do.
worden,become,Wat gaan we worden?,What will we become?
mensen,people,Wie zijn die mensen?,Who are these people?
zeg,say,Zeg me wat je wil.,Tell me what you want.
leven,life,Leven en laten leven.,Live and let live.
zeggen,say,Ik weet dat je nee gaat zeggen.,I know you're going to say no.
weer,again,Hoe is het weer?,How's the weather?
gewoon,just,Doe het toch gewoon.,Just get on with it.
nodig,necessary,Ik heb jullie nodig.,I need you.
wij,we ,Waar zijn wij?,Where are we?
twee,two,Wat is er met jullie twee?,What's up with you two?
tijd,time,Ik heb geen tijd voor jullie.,I don't have time for you.
tegen,to / against,Tegen wie denk je dat je het hebt?,Who do you think you're talking to here?
zit,sit,Is het goed als ik hier zit?,Is it OK if I sit here?
weten,know,Wil je dat echt weten?,Do you really want to know?
heel,well / a lot,Je weet heel goed wat ze wil.,You know very well what she wants.
maken,to make,Dit heeft met jou niets te maken.,This has nothing to do with you.
wordt,is going to be,Dus wat wordt het?,So what is it going to be?
dood,dead,Dood?,Dead?
mag,allowed,Mag ik nu gaan?,Can I leave now?
altijd,always,Waarom ik altijd?,Why always me?
af,off,Je had het nu wel af moeten hebben.,He should have finished it by now.
wacht,wait,Wacht eens heel even.,Wait just a minute.
geef,give,Ik geef nooit op.,I never give up.
omdat,because,Ik doe het omdat ik het wil.,I do it because I want to.
zeker,sure,Dat zal ik zeker doen.,I'll definitely do that.
zie,see ,Ik zie niets.,I don't see anything.
allemaal,all,Hoe weet je dit allemaal?,How do you know all this?
gedaan,done,Ik heb dit voor jou gedaan.,I did this for you.
oh,Oh,Oh,weet je wat?
dank,thanks,Dank u wel!,Thank you!
huis,house,Mag ik naar huis gaan?,May I go home?
hé,Hey,Hé! hoe gaat het met je?,Hi. How are you?
zij,she,Weet je wie zij is?,Do you know who she is?
vader,father,Hij is niet mijn vader.,He's not my father.
doet,is doing,Kijk goed. Ik zal je laten zien hoe je dit doet.,Look carefully. I'm going to show you how it's done.
zoals,such as,Zoals altijd was hij te laat.,He was late
vrouw,woman,Wie is die vrouw?,Who is that woman?
geld,money,Hij heeft geld nodig.,He needs money.
hun,their,Dit is hun huis.,This is their house.
god,God,God zij dank.,Thank God.
kunt,can,Het is niet omdat je het kunt,dat het ook moet.
keer,time,Wil je het nog een keer doen?,Do you want to do it again?
dacht,thought,Dat dacht ik dus ook.,That's what I thought.
erg,terribly,Is het erg?,Is it bad?
willen,want,Ik zou mijn vader willen zien.,I wish to see my father.
anders,otherwise,Kan iemand anders dit niet doen?,Can't someone else do this?
zitten,sit,Nee,ga zitten.
iedereen,everybody,Ik denk dat iedereen dat weet.,I think that everybody knows.
één,one,Dat heb ik één keer gedaan.,I did that once.
andere,other / another,Er moet nog een andere weg zijn.,There must be another way.
zullen,will,We zullen zien.,We shall see.
niks,nothing,Waarom zeg je niks?,How come you say nothing?
niemand,nobody,Niemand weet waar het is.,Nobody knows where it is.
wilt,want,Gaat u maar zitten waar u maar wilt.,Sit wherever you like.
bedankt,thanks,Heel goed,bedankt.
binnen,inside,Hij is niet binnen.,He's not in.
beter,better,Hoe meer,hoe beter.
spijt,regret,Het spijt me,maar nu moet ik weg.
maak,make,Ik maak hem af.,I'll kill him.
hallo,hello,Hallo allemaal!,Hello everyone!
neem,take,Neem je dat?,Will you take that?
vind,find,Vind jij dat ik alleen zou moeten gaan?,Do you think I should go by myself?
staat,state,Zij is tot alles in staat.,She's capable of anything.
werk,work,Ik heb werk te doen.,I have a job to do.
moeder,mother,Is dat jouw moeder?,Is that your mother?
gezien,seen,Ik heb niemand gezien.,I didn't see anybody.
waren,goods,Waar waren jullie?,Where were you?
wilde,wanted to,Zijn moeder wilde het niet doen.,His mother didn't want to do it.
praten,to talk,Ik wil er niet meer over praten.,I don't want to talk about it anymore.
hele,whole,Ik denk de hele tijd aan jullie.,I think of you all the time.
genoeg,enough,Ik weet niet of ik genoeg geld heb.,I don't know if I have enough money.
meneer,sir,Dank u,meneer.
bedoel,mean,Nee... Ik bedoel,ja.
klaar,ready / finished,We zijn klaar om te gaan.,We're ready to go.
vinden,find,Ik weet waar ik hem kan vinden.,I know where to find him.
kon,could,Het kon iedereen zijn.,It could be anyone.
mooi,pretty,Ik weet dat ze mooi is.,I know that she is beautiful.
leuk,fun,Wat vind je leuk om te doen?,What do you like to do?
luister,listen,Luister naar me.,Listen to me.
ziet,sees,Het ziet er goed uit.,Things are looking good.
toe,at,Kom op,geef het maar toe.
na,after,Denk er eens over na als je wil.,Please think about it.
sorry,sorry,Sorry,maar dat kan gewoon niet.
blijf,stay,Blijf bij ons.,Stay with us.
uur,o'clock,Het is één uur.,It's one o'clock.
zegt,say,Wat zegt u?,Pardon me?
drie,three,Over drie uur zien we elkaar weer.,We meet again in three hours.
alsjeblieft,here you go,Kijk voor je,alsjeblieft.
natuurlijk,naturally,Natuurlijk niet!,Of course not!
het maakt uit,it matters,Mij maakt het niet uit.,It's all the same to me.
gek,crazy,Hij is gek op jou.,He is mad about you.
